"","match_number","match_string","red1","red2","red3","blue1","blue2","blue3","taxi_R1","taxi_R2","taxi_R3","carrot_oven_red","carrot_L1_red","carrot_L2_red","carrot_L3_red","cake_oven_red","cake_L1_red","cake_L2_red","cake_L3_red","park_R1","park_R2","park_R3","carrot_haul_R1","carrot_haul_R2","carrot_haul_R3","cake_haul_R1","cake_haul_R2","cake_haul_R3","minor_red","major_red","taxi_B1","taxi_B2","taxi_B3","carrot_oven_blue","carrot_L1_blue","carrot_L2_blue","carrot_L3_blue","cake_oven_blue","cake_L1_blue","cake_L2_blue","cake_L3_blue","park_B1","park_B2","park_B3","carrot_haul_B1","carrot_haul_B2","carrot_haul_B3","cake_haul_B1","cake_haul_B2","cake_haul_B3","minor_blue","major_blue","stocked_rp_red","baked_rp_red","dinner_rp_red","stocked_rp_blue","baked_rp_blue","dinner_rp_blue","red_score","blue_score"
"Alliance 11",1,"Playoff Match 1","614","4472","2910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"1",2,"Playoff Match 2","5338","1731","339","686","4099","422",TRUE,TRUE,FALSE,6,2,3,1,3,2,1,0,TRUE,TRUE,FALSE,3,1,0,0,0,0,0,0,TRUE,FALSE,TRUE,15,0,3,2,3,2,0,2,TRUE,FALSE,TRUE,2,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,111
"Alliance 21",3,"Playoff Match 3","1727","836","5549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"11",4,"Playoff Match 4","2106","4821","1086","449","8592","9072",TRUE,TRUE,TRUE,4,1,3,2,3,2,2,3,TRUE,FALSE,TRUE,3,0,2,0,0,0,0,0,TRUE,TRUE,FALSE,13,1,3,0,1,2,1,0,TRUE,TRUE,FALSE,3,2,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,126,82
"Loser of M2.Alliance 41",5,"Playoff Match 5",NA,NA,NA,"5338","1731","339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Loser of M4.Alliance 61",6,"Playoff Match 6",NA,NA,NA,"449","8592","9072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"12",7,"Playoff Match 7","614","4472","2910","686","4099","422",TRUE,FALSE,TRUE,15,3,2,1,3,1,2,3,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,1,TRUE,TRUE,TRUE,9,0,3,1,3,2,2,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,131,91
"13",8,"Playoff Match 8","1727","836","5549","2106","4821","1086",TRUE,TRUE,FALSE,8,3,0,1,2,0,2,2,TRUE,TRUE,FALSE,2,3,0,0,0,0,0,0,FALSE,TRUE,FALSE,14,2,2,1,3,2,1,2,TRUE,FALSE,TRUE,3,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,91,115
"14",9,"Playoff Match 9","1727","836","5549","5338","1731","339",TRUE,FALSE,FALSE,13,3,1,2,3,2,2,2,FALSE,TRUE,FALSE,0,3,0,0,0,0,0,0,TRUE,FALSE,TRUE,15,2,3,2,3,2,1,2,TRUE,FALSE,FALSE,3,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,122,123
"15",10,"Playoff Match 10","686","4099","422","449","8592","9072",FALSE,TRUE,TRUE,9,1,3,0,3,0,0,3,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,0,TRUE,FALSE,TRUE,9,3,3,2,2,2,2,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,84,129
