"","match_number","red1","red2","red3","blue1","blue2","blue3","taxi_R1","taxi_R2","taxi_R3","carrot_oven_red","carrot_L1_red","carrot_L2_red","carrot_L3_red","cake_oven_red","cake_L1_red","cake_L2_red","cake_L3_red","park_R1","park_R2","park_R3","carrot_haul_R1","carrot_haul_R2","carrot_haul_R3","cake_haul_R1","cake_haul_R2","cake_haul_R3","minor_red","major_red","taxi_B1","taxi_B2","taxi_B3","carrot_oven_blue","carrot_L1_blue","carrot_L2_blue","carrot_L3_blue","cake_oven_blue","cake_L1_blue","cake_L2_blue","cake_L3_blue","park_B1","park_B2","park_B3","carrot_haul_B1","carrot_haul_B2","carrot_haul_B3","cake_haul_B1","cake_haul_B2","cake_haul_B3","minor_blue","major_blue","stocked_rp_red","baked_rp_red","dinner_rp_red","stocked_rp_blue","baked_rp_blue","dinner_rp_blue","red_score","blue_score"
"1",1,4821,2910,339,4472,5549,836,TRUE,TRUE,TRUE,10,2,2,1,0,2,0,2,TRUE,TRUE,TRUE,3,3,2,0,0,0,0,0,TRUE,FALSE,TRUE,13,3,2,0,2,2,2,3,FALSE,FALSE,TRUE,0,0,3,0,0,0,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,103,128
"2",2,1629,4099,686,422,1727,2890,TRUE,TRUE,TRUE,11,3,0,1,3,1,1,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,14,2,3,1,3,0,1,3,TRUE,FALSE,FALSE,3,0,0,0,0,0,4,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,94,114
"3",3,1086,449,5338,614,1731,9072,FALSE,TRUE,TRUE,5,3,3,1,2,2,2,0,TRUE,TRUE,TRUE,2,3,3,0,0,0,0,0,TRUE,FALSE,TRUE,15,1,3,2,1,2,2,1,TRUE,FALSE,TRUE,2,0,3,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,94,118
"4",4,2106,836,339,4821,4472,8592,TRUE,TRUE,FALSE,15,3,3,2,3,2,2,3,TRUE,TRUE,FALSE,3,3,0,0,0,0,0,1,TRUE,TRUE,TRUE,15,0,2,2,3,2,2,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,169,140
"5",5,2910,422,5549,1629,686,2890,TRUE,TRUE,TRUE,10,2,3,2,3,1,2,0,TRUE,FALSE,TRUE,3,0,1,0,0,0,0,0,FALSE,TRUE,FALSE,10,1,1,2,0,1,2,3,TRUE,TRUE,FALSE,2,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,96,111
"6",6,614,9072,449,1086,4099,1727,TRUE,TRUE,TRUE,13,3,3,2,3,2,0,1,TRUE,TRUE,TRUE,3,2,3,0,0,0,2,0,FALSE,FALSE,FALSE,14,3,3,2,2,2,2,3,TRUE,FALSE,TRUE,2,0,3,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,111,152
"7",7,339,5338,8592,1731,2106,4821,TRUE,TRUE,TRUE,13,2,3,0,1,2,2,3,FALSE,TRUE,FALSE,0,3,0,0,0,0,1,0,TRUE,TRUE,TRUE,15,2,2,0,3,2,2,2,FALSE,TRUE,TRUE,0,3,2,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,129,129
"8",8,2890,686,4472,2910,836,1629,FALSE,TRUE,TRUE,13,3,2,2,3,1,2,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,TRUE,TRUE,FALSE,15,1,3,1,2,0,0,1,TRUE,TRUE,FALSE,3,3,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,127,96
"9",9,449,9072,422,4099,5549,614,TRUE,TRUE,TRUE,7,0,3,2,2,1,2,2,TRUE,FALSE,TRUE,3,0,3,0,0,0,0,2,FALSE,TRUE,FALSE,15,3,3,2,0,2,1,3,FALSE,FALSE,TRUE,0,0,3,0,0,0,3,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,120,146
"10",10,8592,1086,2106,1727,5338,1731,TRUE,FALSE,TRUE,13,0,3,2,2,0,2,3,TRUE,TRUE,TRUE,2,2,3,0,0,0,0,1,TRUE,TRUE,FALSE,10,3,2,1,2,1,1,2,TRUE,TRUE,TRUE,3,3,2,0,0,0,0,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,133,114
