"","actual_time","blue_dq_team_keys","blue_score","blue_surrogate_team_keys","blue1","blue2","blue3","red_score","red_surrogate_team_keys","red1","red2","red3","comp_level","event_key","key","match_number","post_result_time","predicted_time","blue_adjustPoints","blue_autoTowerPoints","blue_autoTowerRobot1","blue_autoTowerRobot2","blue_autoTowerRobot3","blue_endGameTowerPoints","blue_endGameTowerRobot1","blue_endGameTowerRobot2","blue_endGameTowerRobot3","blue_energizedAchieved","blue_foulPoints","blue_g206Penalty","blue_majorFoulCount","blue_minorFoulCount","blue_penalties","blue_rp","blue_superchargedAchieved","blue_totalAutoPoints","blue_totalPoints","blue_totalTeleopPoints","blue_totalTowerPoints","blue_traversalAchieved","red_adjustPoints","red_autoTowerPoints","red_autoTowerRobot1","red_autoTowerRobot2","red_autoTowerRobot3","red_endGameTowerPoints","red_endGameTowerRobot1","red_endGameTowerRobot2","red_endGameTowerRobot3","red_energizedAchieved","red_foulPoints","red_g206Penalty","red_majorFoulCount","red_minorFoulCount","red_penalties","red_rp","red_superchargedAchieved","red_totalAutoPoints","red_totalPoints","red_totalTeleopPoints","red_totalTowerPoints","red_traversalAchieved","set_number","time","winning_alliance"
"1",1774207253,NA,191,NA,"frc8590","frc1727","frc4472",256,NA,"frc2421","frc2537","frc5338","sf","2026mdbet","2026mdbet_sf10m1",1,1774207441,1774207347,0,0,"None","None","None",10,"None","None","Level1",FALSE,0,FALSE,0,0,"None",0,FALSE,29,191,162,10,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,21,256,235,0,FALSE,10,1774207260,"red"
"2",1774208223,NA,224,NA,"frc7886","frc5549","frc449",304,NA,"frc2914","frc888","frc1731","sf","2026mdbet","2026mdbet_sf11m1",1,1774208409,1774208265,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,58,224,166,0,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,69,304,235,0,FALSE,11,1774207980,"red"
"3",1774208971,NA,152,NA,"frc3373","frc6882","frc116",321,NA,"frc2421","frc2537","frc5338","sf","2026mdbet","2026mdbet_sf12m1",1,1774209165,1774208818,0,0,"None","None","None",10,"None","None","Level1",FALSE,0,FALSE,0,1,"None",0,FALSE,32,152,120,10,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,5,FALSE,0,0,"None",0,FALSE,66,321,250,0,FALSE,12,1774208520,"red"
"4",1774210381,NA,232,NA,"frc2421","frc2537","frc5338",44,NA,"frc7886","frc5549","frc449","sf","2026mdbet","2026mdbet_sf13m1",1,1774210558,1774210377,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,34,232,198,0,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,20,44,24,0,FALSE,13,1774209780,"blue"
"5",1774202679,NA,215,NA,"frc6239","frc11318","frc5353",345,NA,"frc2186","frc888","frc1731","sf","2026mdbet","2026mdbet_sf1m1",1,1774202869,1774202973,0,0,"None","None","None",0,"None","None","None",FALSE,20,FALSE,0,1,"None",0,FALSE,41,215,154,0,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,5,FALSE,1,1,"None",0,FALSE,36,345,304,0,FALSE,1,1774202400,"red"
"6",1774203141,NA,113,NA,"frc3373","frc6882","frc116",0,NA,"frc8590","frc1727","frc4472","sf","2026mdbet","2026mdbet_sf2m1",1,1774203489,1774203291,0,0,"None","None","None",0,"None","None","None",FALSE,20,FALSE,0,0,"None",0,FALSE,30,113,63,0,FALSE,-222,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,1,1,"None",0,FALSE,45,0,177,0,FALSE,2,1774202940,"blue"
"7",1774203662,NA,80,NA,"frc4821","frc4456","frc1389",303,NA,"frc7886","frc5549","frc449","sf","2026mdbet","2026mdbet_sf3m1",1,1774203852,1774203864,0,0,"None","None","None",0,"None","None","None",FALSE,5,FALSE,0,1,"None",0,FALSE,27,80,48,0,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,5,FALSE,0,1,"None",0,FALSE,69,303,229,0,FALSE,3,1774203480,"red"
"8",1774204108,NA,136,NA,"frc5587","frc5243","frc4638",282,NA,"frc2421","frc2537","frc5338","sf","2026mdbet","2026mdbet_sf4m1",1,1774204289,1774204226,0,15,"None","None","Level1",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,43,136,93,15,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,52,282,230,0,FALSE,4,1774204020,"red"
"9",1774204570,NA,161,NA,"frc8590","frc1727","frc4472",151,NA,"frc6239","frc11318","frc5353","sf","2026mdbet","2026mdbet_sf5m1",1,1774204979,1774204667,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,1,"None",0,FALSE,35,161,126,0,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,5,FALSE,0,0,"None",0,FALSE,53,151,93,0,FALSE,5,1774204560,"blue"
"10",1774205361,NA,170,NA,"frc5587","frc5243","frc4638",67,NA,"frc4821","frc4456","frc1389","sf","2026mdbet","2026mdbet_sf6m1",1,1774205560,1774205355,0,30,"None","Level1","Level1",10,"None","Level1","None",FALSE,15,FALSE,0,0,"None",0,FALSE,57,170,98,40,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,1,0,"None",0,FALSE,27,67,40,0,FALSE,6,1774205100,"blue"
"11",1774205826,NA,163,NA,"frc3373","frc6882","frc116",374,NA,"frc2186","frc888","frc1731","sf","2026mdbet","2026mdbet_sf7m1",1,1774206007,1774205934,0,0,"None","None","None",0,"None","None","None",FALSE,10,FALSE,0,1,"None",0,FALSE,31,163,122,0,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,5,FALSE,0,2,"None",0,FALSE,62,374,307,0,FALSE,7,1774205640,"red"
"12",1774206277,NA,226,NA,"frc2421","frc2537","frc5338",261,NA,"frc7886","frc5549","frc449","sf","2026mdbet","2026mdbet_sf8m1",1,1774206504,1774206417,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,37,226,189,0,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,46,261,215,0,FALSE,8,1774206180,"red"
"13",1774206777,NA,119,NA,"frc5587","frc5243","frc4638",165,NA,"frc3373","frc6882","frc116","sf","2026mdbet","2026mdbet_sf9m1",1,1774206972,1774206910,0,15,"None","Level1","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,47,119,72,15,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,0,0,"None",0,FALSE,35,165,130,0,FALSE,9,1774206720,"red"
"14",1774211862,NA,231,NA,"frc2421","frc2537","frc5338",333,NA,"frc2186","frc888","frc1731","f","2026mdbet","2026mdbet_f1m1",1,1774212040,1774211647,0,0,"None","None","None",0,"None","None","None",FALSE,25,FALSE,2,1,"None",0,FALSE,50,231,156,0,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,35,FALSE,1,2,"None",0,FALSE,69,333,229,0,FALSE,1,1774211040,"red"
"15",1774213221,NA,150,NA,"frc2421","frc2537","frc5338",363,NA,"frc2186","frc888","frc1731","f","2026mdbet","2026mdbet_f1m2",2,1774213431,1774213028,0,0,"None","None","None",0,"None","None","None",FALSE,0,FALSE,2,1,"None",0,FALSE,54,150,96,0,FALSE,0,0,"None","None","None",0,"None","None","None",FALSE,35,FALSE,0,0,"None",0,FALSE,70,363,258,0,FALSE,1,1774212300,"red"
