"","team_key","rank","matches_played","dq","wins","losses","ties","Ranking Score","Ranking Total","Avg Match"
"1","614",1,10,0,8,2,0,4.7,47,133.4
"2","1727",2,11,0,8,3,0,4.18,46,126.36
"3","2106",3,10,0,7,2,1,4.1,41,131
"4","5338",4,10,0,5,4,1,4,40,127.7
"5","686",5,11,0,6,5,0,3.36,37,119.18
"6","449",6,10,0,5,5,0,3.5,35,121.5
"7","4472",7,10,0,6,4,0,3.5,35,121.9
"8","836",8,10,0,6,4,0,3.3,33,124
"9","4821",9,10,0,5,4,1,3.1,31,121.6
"10","1731",10,10,0,5,4,1,3.1,31,115
"11","4099",11,10,0,5,5,0,3.1,31,121.4
"12","8592",12,10,0,4,5,1,3.1,31,119.6
"13","2910",13,11,0,4,7,0,2.82,31,122.36
"14","5549",14,10,0,5,5,0,3,30,115
"15","1086",15,10,0,5,5,0,3,30,120.1
"16","339",16,11,0,3,7,1,2.73,30,120.55
"17","422",17,10,0,3,7,0,2.7,27,117.1
"18","9072",18,10,0,3,7,0,2.5,25,113.6
"19","1629",19,10,0,3,7,0,2.3,23,112.3
"20","2890",20,10,0,3,7,0,2.3,23,106.9
